RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,page,team_abbr,player_name,Effective_FG%,TS%
165,Aaliyah CollinsHPU,G,20,26.4,15.0,6.0,11.8,51.1,0.6,1.8,34.3,2.4,3.7,64.4,2.7,4.4,2.3,0.6,3.2,4,HPU,Aaliyah Collins,53.38983050847457,55.85344057193923
165,Ella MeabonCOLG,F,20,32.3,15.0,5.5,15.0,36.7,0.6,1.7,35.3,3.4,4.2,80.7,5.1,2.2,0.6,0.2,3.9,4,COLG,Ella Meabon,38.666666666666664,44.51566951566952
168,Emmy StoutLIB,C,18,27.4,14.9,5.8,11.1,52.3,0.1,0.2,33.3,3.3,5.5,60.6,6.8,0.9,0.8,0.7,2.0,4,LIB,Emmy Stout,52.702702702702695,55.10355029585799
169,Alayna KrausSIU,G,19,33.6,14.9,5.1,12.7,40.1,1.3,4.2,31.3,3.4,3.9,86.5,3.0,1.6,1.0,0.2,2.0,4,SIU,Alayna Kraus,45.275590551181104,51.67869034406216
170,Zahra KingSMU,G,22,27.8,14.9,5.5,11.6,47.7,1.6,3.6,44.3,2.2,3.0,71.6,2.5,1.7,1.8,0.1,2.8,4,SMU,Zahra King,54.310344827586206,57.6625386996904
171,Amelia WoodSHU,G,21,30.2,14.9,4.7,12.2,38.3,1.7,5.1,33.6,3.8,4.8,80.0,6.3,2.1,2.4,1.0,1.9,4,SHU,Amelia Wood,45.49180327868852,52.05422023476803
171,Jeni LevineUNCG,G,21,31.1,14.9,5.2,13.1,39.9,1.7,5.6,30.8,2.7,4.0,67.5,4.5,2.8,1.6,0.3,2.6,4,UNCG,Jeni Levine,46.18320610687023,50.13458950201885
171,Alexis BordasDUQ,G,21,30.7,14.9,4.8,13.6,35.0,2.9,8.3,34.9,2.4,2.8,86.4,3.2,1.5,1.8,0.0,2.0,4,DUQ,Alexis Bordas,45.95588235294118,50.229234088457396
174,Queen IkhiuwuWOF,F,19,26.9,14.8,6.6,13.0,51.0,0.2,0.5,33.3,1.4,1.8,79.4,7.7,1.5,0.8,1.1,2.2,4,WOF,Queen Ikhiuwu,51.53846153846153,53.654292343387475
174,Zoe BorterUCSB,F,19,32.8,14.8,5.2,12.1,42.8,1.9,5.1,38.5,2.6,3.2,80.3,3.1,2.0,0.5,0.2,1.3,4,UCSB,Zoe Borter,50.826446280991746,54.782351199289316
176,Amanda BarcelloUVU,G,17,32.9,14.8,4.6,10.6,43.3,2.8,6.8,41.7,2.8,3.3,85.7,2.4,0.8,2.4,0.4,1.1,4,UVU,Amanda Barcello,56.60377358490566,61.40059741121806
177,Gabriela JaquezUCLA,G,21,29.9,14.8,5.3,9.2,58.0,1.6,3.4,46.5,2.6,2.9,88.5,5.8,2.0,1.0,0.1,1.5,4,UCLA,Gabriela Jaquez,66.30434782608697,70.6376479572356
177,Maya HernandezLMU,F,21,27.9,14.8,6.1,12.3,49.4,0.0,0.3,0.0,2.6,4.0,66.3,5.5,1.5,1.6,0.9,2.1,4,LMU,Maya Hernandez,49.59349593495934,52.63157894736842
179,Zamareya JonesNCSU,G,20,31.1,14.8,5.5,12.9,42.8,2.4,6.0,39.2,1.5,1.9,76.3,3.6,3.8,1.2,0.4,1.9,4,NCSU,Zamareya Jones,51.93798449612403,53.87303436225975
